cohort_month,months_since_first,active_users,retention_pct
2024-10-01,10,14,1.22
2024-10-01,11,22,1.92
2024-10-01,12,26,2.26
2024-11-01,0,1143,100.0
2024-11-01,1,24,2.1
2024-11-01,2,19,1.66
2024-11-01,3,24,2.1
2024-11-01,4,28,2.45
2024-11-01,5,28,2.45
2024-11-01,6,30,2.62
2024-11-01,7,16,1.4
2024-11-01,8,19,1.66
2024-11-01,9,26,2.27
2024-11-01,10,17,1.49
2024-11-01,11,20,1.75
2024-11-01,12,25,2.19
2024-12-01,0,1217,100.0
2024-12-01,1,25,2.05
2024-12-01,2,24,1.97
2024-12-01,3,27,2.22
2024-12-01,4,28,2.3
2024-12-01,5,14,1.15
2024-12-01,6,22,1.81
2024-12-01,7,28,2.3
2024-12-01,8,34,2.79
2024-12-01,9,27,2.22
2024-12-01,10,27,2.22
2024-12-01,11,23,1.89
2024-12-01,12,23,1.89
2025-01-01,0,1242,100.0
2025-01-01,1,21,1.69
2025-01-01,2,33,2.66
2025-01-01,3,26,2.09
2025-01-01,4,28,2.25
2025-01-01,5,30,2.42
2025-01-01,6,38,3.06
2025-01-01,7,29,2.33
2025-01-01,8,26,2.09
2025-01-01,9,23,1.85
2025-01-01,10,31,2.5
2025-01-01,11,23,1.85
2025-01-01,12,30,2.42
2025-02-01,0,1131,100.0
2025-02-01,1,31,2.74
2025-02-01,2,25,2.21
2025-02-01,3,23,2.03
2025-02-01,4,22,1.95
2025-02-01,5,40,3.54
2025-02-01,6,27,2.39
2025-02-01,7,22,1.95
2025-02-01,8,36,3.18
2025-02-01,9,25,2.21
2025-02-01,10,32,2.83
2025-02-01,11,29,2.56
2025-02-01,12,30,2.65
2025-03-01,0,1246,100.0
2025-03-01,1,32,2.57
2025-03-01,2,44,3.53
2025-03-01,3,35,2.81
2025-03-01,4,35,2.81
2025-03-01,5,28,2.25
2025-03-01,6,25,2.01
2025-03-01,7,29,2.33
2025-03-01,8,27,2.17
2025-03-01,9,25,2.01
2025-03-01,10,35,2.81
2025-03-01,11,19,1.52
2025-03-01,12,38,3.05
2025-04-01,0,1320,100.0
2025-04-01,1,32,2.42
2025-04-01,2,33,2.5
2025-04-01,3,36,2.73
2025-04-01,4,38,2.88
2025-04-01,5,35,2.65
2025-04-01,6,29,2.2
2025-04-01,7,23,1.74
2025-04-01,8,29,2.2
2025-04-01,9,41,3.11
2025-04-01,10,36,2.73
2025-04-01,11,36,2.73
2025-04-01,12,37,2.8
2025-05-01,0,1394,100.0
2025-05-01,1,40,2.87
2025-05-01,2,39,2.8
2025-05-01,3,38,2.73
2025-05-01,4,37,2.65
2025-05-01,5,36,2.58
2025-05-01,6,50,3.59
2025-05-01,7,36,2.58
2025-05-01,8,46,3.3
2025-05-01,9,39,2.8
2025-05-01,10,47,3.37
2025-05-01,11,42,3.01
2025-05-01,12,17,1.22
2025-06-01,0,1460,100.0
2025-06-01,1,47,3.22
2025-06-01,2,46,3.15
2025-06-01,3,44,3.01
2025-06-01,4,49,3.36
2025-06-01,5,48,3.29
2025-06-01,6,41,2.81
2025-06-01,7,47,3.22
2025-06-01,8,35,2.4
2025-06-01,9,40,2.74
2025-06-01,10,47,3.22
2025-06-01,11,8,0.55
2025-07-01,0,1554,100.0
2025-07-01,1,54,3.47
2025-07-01,2,49,3.15
2025-07-01,3,45,2.9
2025-07-01,4,52,3.35
2025-07-01,5,47,3.02
2025-07-01,6,62,3.99
2025-07-01,7,42,2.7
2025-07-01,8,40,2.57
2025-07-01,9,58,3.73
2025-07-01,10,12,0.77
2025-08-01,0,1595,100.0
2025-08-01,1,55,3.45
2025-08-01,2,57,3.57
2025-08-01,3,46,2.88
2025-08-01,4,52,3.26
2025-08-01,5,50,3.13
2025-08-01,6,62,3.89
2025-08-01,7,58,3.64
2025-08-01,8,50,3.13
2025-08-01,9,15,0.94
2025-09-01,0,1540,100.0
2025-09-01,1,72,4.68
2025-09-01,2,57,3.7
2025-09-01,3,54,3.51
2025-09-01,4,67,4.35
2025-09-01,5,43,2.79
2025-09-01,6,50,3.25
2025-09-01,7,62,4.03
2025-09-01,8,22,1.43
2025-10-01,0,1673,100.0
2025-10-01,1,74,4.42
2025-10-01,2,85,5.08
2025-10-01,3,66,3.95
2025-10-01,4,80,4.78
2025-10-01,5,67,4.0
2025-10-01,6,69,4.12
2025-10-01,7,20,1.2
2025-11-01,0,1764,100.0
2025-11-01,1,94,5.33
2025-11-01,2,84,4.76
2025-11-01,3,77,4.37
2025-11-01,4,88,4.99
2025-11-01,5,75,4.25
2025-11-01,6,28,1.59
2025-12-01,0,1980,100.0
2025-12-01,1,117,5.91
2025-12-01,2,97,4.9
2025-12-01,3,117,5.91
2025-12-01,4,112,5.66
2025-12-01,5,36,1.82
